FirstName,Phone,Notes
Aarav,9876543210,Interested in product A
Vivaan,9123456789,Follow-up next week
Aditya,9988776655,Requested demo
Vihaan,9090909090,Needs pricing details
Arjun,9876501234,Spoke to yesterday
Sai,9123451122,Call after 5 PM
Reyansh,9012345678,Waiting for approval
Krishna,9876509876,Follow-up in 2 days
Ishaan,9090987654,Sent documents
Shaurya,9876123456,Very interested
Atharv,9911223344,Call again tomorrow
Aryan,9090123456,Needs manager's confirmation
Kabir,9876767676,Interested in annual plan
Dhruv,9001122334,Check for updates
Ritvik,9876541122,Call at noon
Advait,9011765432,Follow-up in 3 days
Om,9876123450,Scheduled meeting
Rudra,9090567890,Confirmed interest
Yuvaan,9123098765,Send email proposal
Nivaan,9876054321,No response yet
Ansh,9009988776,Requested brochure
Parth,9876012345,Demo scheduled
Darsh,9123099988,Needs technical call
Ayaan,9988776654,Switching providers
Veer,9001234567,Asked for referral discount
Ritvik,9876541122,Call at noon
Advait,9011765432,Follow-up in 3 days
